treated_id,treated_name,control_id,control_name,conference,award_year,treat_pos,ctrl_pos,match_dist
https://openalex.org/A5014823249,Jincheng Mei,https://openalex.org/A5010677076,Martin Müller,AAAI,2018,2,3,1.0
https://openalex.org/A5032195981,Sang-Gyun An,https://openalex.org/A5015615908,Kasper Hornbæk,CHI,2018,2,2,0.0
https://openalex.org/A5075359884,Sylvia Simioni,https://openalex.org/A5083645031,Alan M. Wilson,CHI,2018,3,3,0.0
https://openalex.org/A5035195609,Sean Peacock,https://openalex.org/A5040685721,Yongkwan Kim,CHI,2018,1,1,0.0
https://openalex.org/A5011207998,Urmila Mahadev,https://openalex.org/A5013948143,James C. Davis,FOCS,2018,1,1,1.0
https://openalex.org/A5063520549,Dor Minzer,https://openalex.org/A5007318528,Muli Safra,FOCS,2018,2,3,1.0
https://openalex.org/A5068145628,Christy A. Coghlan,https://openalex.org/A5017792083,Meng Wu,FSE,2018,2,2,0.0
https://openalex.org/A5091720485,Anish Athalye,https://openalex.org/A5029554720,Sarah Dean,ICML,2018,1,2,1.0
https://openalex.org/A5102012317,Lingling Fan,https://openalex.org/A5100352782,Xinyu Wang,ICSE,2018,1,1,0.0
https://openalex.org/A5032569584,Jacob Rendall,https://openalex.org/A5032068969,Michael D. Ernst,ICSE,2018,2,2,0.0
https://openalex.org/A5030456881,Chun Kai Ling,https://openalex.org/A5100372201,Xue Li,IJCAI,2018,1,1,0.0
https://openalex.org/A5064520344,Polykarpos Meladianos,https://openalex.org/A5060042752,Bo Du,IJCAI,2018,2,2,0.0
https://openalex.org/A5058510425,Stratis Limnios,https://openalex.org/A5001529504,Chang Xu,IJCAI,2018,3,3,0.0
https://openalex.org/A5100342798,Zihao Li,https://openalex.org/A5085088065,M. Yousof Naderi,INFOCOM,2018,3,3,0.0
https://openalex.org/A5082318381,Subhramoy Mohanti,https://openalex.org/A5100443178,Ting Chen,INFOCOM,2018,1,1,0.0
https://openalex.org/A5036229988,Elif Bozkaya,https://openalex.org/A5057128963,Abhishek Sinha,INFOCOM,2018,2,2,0.0
https://openalex.org/A5025058751,Daniel Zügner,https://openalex.org/A5025028660,Tom Hope,KDD,2018,1,1,1.0
https://openalex.org/A5014557575,Amir Akbarnejad,https://openalex.org/A5003751225,Joel Chan,KDD,2018,2,2,1.0
https://openalex.org/A5101558101,Mehrdad Moradi,https://openalex.org/A5018752163,Karthikeyan Sundaresan,MOBICOM,2018,1,2,1.0
https://openalex.org/A5056747950,Kevin Scaman,https://openalex.org/A5051338636,Hassan Ashtiani,NeurIPS,2018,1,1,0.0
https://openalex.org/A5039192820,Yulia Rubanova,https://openalex.org/A5112193907,Shai Ben-David,NeurIPS,2018,2,2,0.0
https://openalex.org/A5027925889,Jesse Bettencourt,https://openalex.org/A5021842384,Sébastien Bubeck,NeurIPS,2018,3,3,0.0
https://openalex.org/A5100425893,Haoyu Zhang,https://openalex.org/A5085678555,Eugene Chai,NSDI,2018,3,3,1.0
https://openalex.org/A5085945429,Xinyang Ge,https://openalex.org/A5077585432,Rahul Kumar,OSDI,2018,2,2,0.0
https://openalex.org/A5060703788,Yizhou Shan,https://openalex.org/A5048777417,Ranjita Bhagwan,OSDI,2018,1,1,0.0
https://openalex.org/A5110832647,Chandra Sekhar Maddila,https://openalex.org/A5020418881,Yilun Chen,OSDI,2018,3,3,0.0
https://openalex.org/A5078512511,Itsaka Rakotonirina,https://openalex.org/A5089763199,Juan Ramón Troncoso-Pastoriza,S&P,2018,3,3,0.0
https://openalex.org/A5081476292,Rocío Cañamares,https://openalex.org/A5005275631,Amogh Dhamdhere,SIGIR,2018,1,1,1.0
https://openalex.org/A5015113627,Huanchen Zhang,https://openalex.org/A5034603892,Carlos Rodríguez‐Navarro,SIGMOD,2018,1,1,1.0
https://openalex.org/A5090101869,Fulvio Di Lorenzo,https://openalex.org/A5025874799,Jacob Holm,SODA,2018,2,2,0.0
https://openalex.org/A5021735130,David Porfirio,https://openalex.org/A5038972102,Dingzeyu Li,UIST,2018,1,1,1.0
https://openalex.org/A5073533400,Allison Sauppé,https://openalex.org/A5060695800,Philip J. Guo,UIST,2018,2,2,0.0
https://openalex.org/A5061951606,Ryan Cotterell,https://openalex.org/A5052467896,Jason Eisner,ACL,2017,1,2,1.0
https://openalex.org/A5089731854,Sarah Webber,https://openalex.org/A5014222815,Julie Williamson,CHI,2017,1,1,0.0
https://openalex.org/A5016617747,Sally Sherwen,https://openalex.org/A5031323457,Marcus Foth,CHI,2017,3,3,0.0
https://openalex.org/A5049567786,Emma Vargo,https://openalex.org/A5041837927,Marcus Carter,CHI,2017,2,2,0.0
https://openalex.org/A5049519805,Zhuojian Zhong,https://openalex.org/A5100760812,Shaoping Ma,CIKM,2017,3,3,1.0
https://openalex.org/A5101415694,Ashish Shrivastava,https://openalex.org/A5013240918,Gao Huang,CVPR,2017,1,1,0.0
https://openalex.org/A5033363730,Natasha Danas,https://openalex.org/A5091246530,Nicholas Nelson,FSE,2017,2,2,0.0
https://openalex.org/A5076388753,Dan Gopstein,https://openalex.org/A5079753562,Tim Nelson,FSE,2017,1,1,0.0
https://openalex.org/A5021297302,Timothy Tunnell,https://openalex.org/A5113712973,Daniel J. Dougherty,FSE,2017,3,3,0.0
